Name,Duration,Popularity,Key,TimeSig,Energy,Instrumentalness,Loudness,Tempo,LyricSimplicity,Sections,Singable
Castle,254760,64,7,4,0.819,0.000646,-4.592,84.977,-39.7,11,0
Blood in the Water,213333,57,0,3,0.793,3.82E-05,-6.453,98.343,-150.13,10,0
Alive Til' I Die,287666,41,3,4,0.64,5.47E-06,-4.928,91.006,65.53,11,0
In the Bag,228120,32,9,4,0.711,0.00313,-8.067,93,83.43,11,0
Nest,251493,33,4,4,0.548,0,-9.583,88.305,65.16,8,0
The Dude,187213,31,4,4,0.964,0,-8.515,92.981,81.3,6,0
"Robots, Pop Songs",187186,35,1,4,0.728,0.000178,-1.275,105.077,75.81,9,0
Visiting Hours,285133,32,9,3,0.55,0.00342,-7.89,124.287,-271.93,17,0
To This Day,417840,44,5,4,0.516,0,-8.715,130.601,-190.23,17,0
Oklahoma City,134013,11,7,4,0.377,0,-8.773,76.594,70.06,6,0
